% 1. Title: Consent information from Experiment 1
%
% 2. Sources:
%      (a) Creator: Christian Medeiros Adriano
%      (b) Date of Experiment: October 20, 2014
%      (c) Paper draft = https://arxiv.org/abs/1612.03015
%
@RELATION Task

@ATTRIBUTE time_stamp  STRING
@ATTRIBUTE event  {CONSENT,SKILLTEST,SURVEY}
@ATTRIBUTE worker_id  STRING
@ATTRIBUTE consent_date STRING
@ATTRIBUTE test1 {false, true}
@ATTRIBUTE test2 {false, true}
@ATTRIBUTE test3 {false, true}
@ATTRIBUTE test4 {false, true}
@ATTRIBUTE qualification_score NUMERIC
@ATTRIBUTE test_duration NUMERIC
@ATTRIBUTE feedback STRING
@ATTRIBUTE gender {Female,Male,Prefer_not_to_tell}
@ATTRIBUTE years_programming NUMERIC
@ATTRIBUTE difficulty NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE age NUMERIC

@DATA
"2014 10 24 09:06:36.471000",CONSENT,63_1,1.414155996471E12,true,false,false,false,1,75442.0,,,,,,
"2014 10 24 09:06:48.930000",CONSENT,64_1,1.414156008093E12,false,true,false,true,2,94144.0,"-",Female,0,7,"usa",43
"2014 10 24 09:06:50.737000",CONSENT,65_1,1.414156010737E12,false,false,false,false,0,102663.0,,,,,,
"2014 10 24 09:06:58.909000",CONSENT,66_1,1.414156018909E12,,,,,,,,,,,,
"2014 10 24 09:06:58.976000",CONSENT,67_1,1.414156018976E12,false,true,false,false,1,126470.0,,,,,,
"2014 10 24 09:07:20.392000",CONSENT,68_1,1.414156040392E12,false,true,false,false,1,198667.0,,,,,,
"2014 10 24 09:07:22.866000",CONSENT,69_1,1.414156042866E12,false,false,false,false,0,102106.0,,,,,,
"2014 10 24 09:07:35.577000",CONSENT,70_1,1.414156055577E12,false,true,false,true,2,81612.0,"-",Male,1,5,"US",41
"2014 10 24 09:07:59.447000",CONSENT,71_1,1.414156079447E12,false,true,false,true,2,77871.0,"-",Female,2,5,"US",25
"2014 10 24 09:08:09.887000",CONSENT,72_1,1.414156089887E12,,,,,,,,,,,,
"2014 10 24 09:08:16.316000",CONSENT,73_1,1.414156096316E12,false,true,false,true,2,114201.0,"Good.",Female,5,6,"India",25
"2014 10 24 09:08:22.178000",CONSENT,74_1,1.414156102178E12,false,true,false,false,1,11633.0,,,,,,
"2014 10 24 09:08:35.807000",CONSENT,75_1,1.414156115807E12,false,false,false,false,0,42731.0,,,,,,
"2014 10 24 09:08:45.370000",CONSENT,76_1,1.41415612537E12,false,true,false,false,1,237464.0,,,,,,
"2014 10 24 09:08:50.670000",CONSENT,77_1,1.41415613067E12,false,false,false,false,0,22890.0,,,,,,
"2014 10 24 09:09:07.652000",CONSENT,78_1,1.414156147652E12,false,false,true,false,1,178377.0,,,,,,
"2014 10 24 09:09:15.106000",CONSENT,79_1,1.414156155106E12,false,true,false,false,1,506445.0,,,,,,
"2014 10 24 09:09:18.756000",CONSENT,80_1,1.414156158756E12,false,true,false,false,1,127144.0,,,,,,
"2014 10 24 09:09:22.364000",CONSENT,81_1,1.414156162364E12,false,false,false,false,0,24850.0,,,,,,
"2014 10 24 09:09:28.443000",CONSENT,82_1,1.414156168443E12,false,false,false,true,1,18058.0,,,,,,
"2014 10 24 09:09:33.346000",CONSENT,83_1,1.414156173345E12,false,true,false,false,1,227215.0,,,,,,
"2014 10 24 09:09:42.267000",CONSENT,84_1,1.414156182267E12,false,true,false,false,1,106216.0,,,,,,
"2014 10 24 09:09:55.414000",CONSENT,85_1,1.414156195414E12,false,true,true,true,3,28228.0,,,,,,
"2014 10 24 09:10:01.330000",CONSENT,86_1,1.41415620133E12,false,false,false,false,0,22205.0,,,,,,
"2014 10 24 09:10:01.427000",CONSENT,87_1,1.414156201427E12,true,true,true,false,3,12133.0,"Good survey",Male,5,6,"USA",27
"2014 10 24 09:10:15.698000",CONSENT,88_1,1.414156215698E12,false,false,false,true,1,127273.0,,,,,,
"2014 10 24 09:10:17.905000",CONSENT,89_1,1.414156217904E12,false,true,false,false,1,17849.0,,,,,,
"2014 10 24 09:10:20.828000",CONSENT,90_1,1.414156220828E12,false,false,false,true,1,154170.0,,,,,,
"2014 10 24 09:10:24.594000",CONSENT,91_1,1.414156224594E12,true,true,true,false,3,328585.0,,,,,,
"2014 10 24 09:10:29.473000",CONSENT,92_1,1.414156229473E12,false,true,false,false,1,62449.0,,,,,,
"2014 10 24 09:10:32.183000",CONSENT,93_1,1.414156232183E12,false,true,false,false,1,9641.0,,,,,,
"2014 10 24 09:10:35.514000",CONSENT,94_1,1.414156235514E12,false,false,false,false,0,103250.0,,,,,,
"2014 10 24 09:10:35.864000",CONSENT,95_1,1.414156235864E12,false,true,false,true,2,41863.0,"-",Male,1,7,"United States",40
"2014 10 24 09:10:39.298000",CONSENT,96_1,1.414156239298E12,false,false,false,false,0,21949.0,,,,,,
"2014 10 24 09:10:44.293000",CONSENT,97_1,1.414156244293E12,false,true,false,false,1,7630.0,,,,,,
"2014 10 24 09:10:52.115000",CONSENT,98_1,1.414156252115E12,false,false,true,false,1,10189.0,,,,,,
"2014 10 24 09:10:57.472000",CONSENT,99_1,1.414156257472E12,false,false,false,true,1,64062.0,,,,,,
"2014 10 24 09:11:13.673000",CONSENT,100_1,1.414156273673E12,false,true,false,false,1,11273.0,,,,,,
"2014 10 24 09:11:13.770000",CONSENT,101_1,1.41415627377E12,false,true,false,false,1,281371.0,,,,,,
"2014 10 24 09:11:18.982000",CONSENT,102_1,1.414156278982E12,false,false,true,true,2,30848.0,"fun hit.",Male,1,7,"USA",28
"2014 10 24 09:11:19.342000",CONSENT,103_1,1.414156279342E12,false,false,false,true,1,153544.0,,,,,,
"2014 10 24 09:11:21.364000",CONSENT,104_1,1.414156281364E12,false,false,false,true,1,125795.0,,,,,,
"2014 10 24 09:11:21.884000",CONSENT,105_1,1.414156281884E12,true,false,false,false,1,14074.0,,,,,,
"2014 10 24 09:11:24.396000",CONSENT,106_1,1.414156284396E12,false,false,false,false,0,135314.0,,,,,,
"2014 10 24 09:11:31.999000",CONSENT,107_1,1.414156291999E12,,,,,,,,,,,,
"2014 10 24 09:11:33.244000",CONSENT,108_1,1.414156293244E12,true,true,false,true,3,337687.0,"In many of the examples it did not give me enough code to figure out the problem.",Female,8,4,"USA",25
"2014 10 24 09:11:34.529000",CONSENT,109_1,1.414156294529E12,false,false,false,true,1,8470.0,,,,,,
"2014 10 24 09:11:36.521000",CONSENT,110_1,1.414156296521E12,false,true,true,true,3,64639.0,,,,,,
"2014 10 24 09:11:43.251000",CONSENT,111_1,1.414156303251E12,false,true,false,false,1,44266.0,,,,,,
"2014 10 24 09:11:44.421000",CONSENT,112_1,1.414156304421E12,false,false,false,true,1,93367.0,,,,,,
"2014 10 24 09:11:51.490000",CONSENT,113_1,1.414156311049E12,true,false,false,false,1,8376.0,,,,,,
"2014 10 24 09:11:57.256000",CONSENT,114_1,1.414156317256E12,false,false,false,true,1,5889.0,,,,,,
"2014 10 24 09:12:09.160000",CONSENT,115_1,1.41415632916E12,false,false,true,false,1,111059.0,,,,,,
"2014 10 24 09:12:14.384000",CONSENT,116_1,1.414156334384E12,,,,,,,,,,,,
"2014 10 24 09:12:17.489000",CONSENT,117_1,1.414156337489E12,false,false,false,false,0,19367.0,,,,,,
"2014 10 24 09:12:26.915000",CONSENT,118_1,1.414156346915E12,false,false,false,true,1,35259.0,,,,,,
"2014 10 24 09:12:31.712000",CONSENT,119_1,1.414156351712E12,false,true,false,false,1,596146.0,,,,,,
"2014 10 24 09:12:33.586000",CONSENT,120_1,1.414156353586E12,,,,,,,,,,,,
"2014 10 24 09:12:38.641000",CONSENT,121_1,1.414156358641E12,false,true,false,false,1,95102.0,,,,,,
"2014 10 24 09:12:45.616000",CONSENT,122_1,1.414156365616E12,true,false,false,false,1,6865.0,,,,,,
"2014 10 24 09:12:48.878000",CONSENT,123_1,1.414156368878E12,false,true,false,false,1,227787.0,,,,,,
"2014 10 24 09:12:52.321000",CONSENT,124_1,1.414156372321E12,,,,,,,,,,,,
"2014 10 24 09:12:52.636000",CONSENT,125_1,1.414156372636E12,false,true,false,false,1,44792.0,,,,,,
"2014 10 24 09:12:53.839000",CONSENT,126_1,1.414156373839E12,,,,,,,,,,,,
"2014 10 24 09:12:57.224000",CONSENT,127_1,1.414156377224E12,false,false,true,false,1,6541.0,,,,,,
"2014 10 24 09:12:58.770000",CONSENT,128_1,1.41415637877E12,,,,,,,,,,,,
"2014 10 24 09:13:10.560000",CONSENT,129_1,1.414156390056E12,false,false,true,false,1,23659.0,,,,,,
