"","test1","test2","test3","test4","test5"
"753",1,1,1,1,1
"754",2,1,2,2,1
"755",1,1,2,1,1
"756",1,1,1,1,2
"757",1,1,2,1,1
"758",1,2,1,1,2
"759",2,2,2,1,2
"763",1,1,2,1,2
"766",1,1,2,1,1
"767",2,1,1,1,1
"768",1,1,1,2,1
"769",1,2,1,1,1
"772",1,2,1,2,1
"773",2,2,2,1,2
"774",2,2,1,1,1
"776",2,2,2,2,2
"778",2,1,1,2,1
"780",1,1,1,1,1
"781",1,1,2,1,1
"782",2,1,2,2,2
"783",2,1,2,2,2
"785",1,2,1,1,1
"790",1,2,1,1,1
"792",2,2,1,2,1
"796",1,1,1,1,1
"798",1,1,1,1,1
"800",1,1,1,1,1
"801",2,2,1,1,1
"805",1,1,1,1,1
"807",1,1,1,2,1
"808",2,2,2,2,2
"810",1,1,1,1,1
"812",1,1,2,1,1
"815",1,1,1,2,1
"818",2,2,2,2,2
"819",2,1,1,2,1
"820",2,1,2,2,1
"822",2,2,1,2,2
"823",1,1,1,1,1
"825",1,1,1,1,1
"826",2,2,2,2,2
"827",1,1,1,1,1
"829",2,2,2,2,2
"830",2,2,1,2,1
"831",2,2,2,1,2
"833",2,2,2,2,2
"834",1,1,1,1,1
"835",2,2,2,2,2
"836",1,1,2,2,1
"839",1,2,1,1,2
"840",2,1,1,1,1
"841",1,1,1,1,1
"845",1,1,1,1,2
"846",2,2,2,2,2
"848",2,1,1,1,2
"849",2,2,2,1,2
"853",1,1,1,2,1
"855",1,1,2,1,1
"856",2,2,2,1,2
"858",2,2,2,2,1
"860",1,1,2,1,1
"863",1,1,1,1,1
"864",1,2,2,1,1
"865",2,2,2,2,2
"867",1,1,1,1,1
"869",2,2,2,2,2
"870",2,1,1,1,1
"871",2,2,2,1,2
"873",1,1,1,2,1
"875",2,2,2,1,2
"878",1,1,1,1,2
"882",2,2,2,1,1
"885",2,2,2,2,2
"888",1,1,1,1,1
"892",2,1,2,1,1
"895",1,1,2,1,1
"896",2,2,2,2,2
"901",1,1,1,1,1
"903",2,2,2,2,1
"904",1,1,2,1,1
"908",1,1,2,1,1
"909",1,1,1,2,1
"910",1,1,1,1,1
"911",2,2,2,1,1
"912",2,2,2,2,1
"913",2,1,1,2,1
"914",2,2,2,2,1
"915",2,2,2,2,2
"916",1,2,1,1,2
"917",2,2,2,2,2
"919",1,1,1,1,2
"920",1,1,1,1,1
"922",1,1,1,1,1
"923",1,1,1,2,1
"924",2,1,2,1,1
"925",2,2,2,2,2
"927",2,1,2,2,2
"929",2,2,2,1,2
"930",2,2,2,2,2
"931",2,2,2,2,1
"932",1,2,2,2,2
"933",1,1,1,1,1
"934",1,1,1,1,1
"935",2,2,2,2,2
"936",2,2,2,2,1
"938",2,2,2,2,2
"940",2,2,2,1,1
"947",2,1,1,2,1
"948",2,2,2,1,1
"949",1,1,1,1,1
"954",1,1,1,1,2
"955",2,1,2,1,1
"958",1,2,2,1,1
"959",2,2,1,2,1
"960",1,1,2,1,1
"963",2,2,2,2,2
"965",2,2,2,1,1
"966",2,2,1,1,1
"967",2,1,1,1,1
"968",1,1,1,1,1
"969",2,1,2,1,1
"970",2,2,2,1,1
"971",1,1,1,1,1
"972",2,1,1,2,1
"974",1,1,1,1,2
"977",1,1,1,1,1
"981",1,1,2,1,1
"985",2,1,1,2,1
"987",2,2,2,2,2
"989",1,1,1,1,1
"990",1,1,1,1,2
"991",2,2,1,2,2
"993",1,1,1,1,1
"996",1,2,1,1,2
"997",2,1,2,2,1
"999",2,1,1,2,1
"1000",2,2,2,1,2
"1004",1,1,1,1,1
"1005",1,1,1,2,1
"1006",2,2,2,1,1
"1007",2,2,2,2,2
"1008",1,1,1,1,1
"1013",2,2,2,2,1
"1014",1,2,1,1,1
"1015",1,1,1,1,1
"1020",2,1,1,1,1
"1026",2,2,2,1,2
"1030",1,1,1,1,1
"1033",1,1,1,1,1
"1035",1,1,1,1,1
"1039",2,2,2,2,1
"1040",1,2,2,1,1
"1042",1,2,2,1,2
"1043",1,1,2,1,1
"1047",2,1,1,1,1
"1051",1,2,1,1,1
"1060",2,1,1,1,1
"1063",2,2,2,1,2
"1084",1,2,1,2,1
"1085",2,1,2,1,1
"1086",1,2,1,2,2
"1087",2,2,2,2,1
"1089",2,2,2,1,2
"1090",1,2,1,2,2
"1091",2,2,2,1,2
"1092",2,2,2,2,2
"1093",1,1,2,1,1
"1095",2,1,2,2,1
"1096",1,1,1,2,2
"1097",2,2,2,1,1
"1098",1,2,1,2,1
"1099",2,2,2,1,2
"1101",2,2,1,1,2
"1103",1,1,1,2,1
"1104",2,2,2,2,2
"1105",2,1,1,1,1
"1106",1,1,1,2,1
"1108",2,1,2,2,2
"1109",1,1,1,1,2
"1111",2,2,2,2,1
"1112",2,1,1,2,1
"1113",1,2,2,2,2
"1114",2,2,2,2,2
"1117",2,2,2,2,2
"1119",2,2,2,2,2
"1121",1,1,1,2,1
"1123",2,2,2,1,2
"1124",2,2,2,2,2
"1125",2,2,2,2,2
"1126",2,2,1,2,1
"1128",1,2,1,1,1
"1131",2,2,1,1,1
"1134",1,1,1,1,1
"1135",2,1,1,2,2
"1137",1,2,1,1,1
"1139",2,2,2,2,2
"1140",1,2,1,2,2
"1142",2,2,2,2,2
"1143",2,1,2,1,1
"1144",2,2,2,2,2
"1147",1,2,1,2,1
"1148",1,2,1,2,2
"1150",1,1,2,2,1
"1153",1,2,1,1,1
"1154",1,1,1,1,1
"1157",2,1,2,2,2
"1158",2,1,2,2,2
"1159",2,1,1,2,1
"1161",2,2,2,2,2
"1164",1,1,1,1,2
"1165",1,2,1,2,2
"1166",1,2,1,1,1
"1167",1,2,1,2,2
"1169",1,1,1,2,1
"1172",2,2,2,2,2
"1174",1,1,1,2,1
"1175",2,2,2,2,2
"1178",2,2,2,2,2
"1179",2,1,1,2,1
"1180",1,2,1,2,2
